audit_id,sample_id,sample_group,risk_tags,entity_count,max_entity_length,reviewer_a_pass,reviewer_a_notes,reviewer_b_pass,reviewer_b_notes,adjudicated_pass,error_types,final_notes
C2U-AUDIT-0001,translated_test_1238,long_21_plus,has_org;entity_len_21_plus;has_alignment_debug,2,31,,,,,,,
C2U-AUDIT-0002,translated_test_4299,long_21_plus,has_org;entity_len_21_plus;has_alignment_debug,2,57,,,,,,,
C2U-AUDIT-0003,translated_test_253,long_21_plus,multi_entity;has_org;has_loc;entity_len_21_plus;has_alignment_debug,4,27,,,,,,,
C2U-AUDIT-0004,translated_test_3031,long_21_plus,multi_entity;has_org;entity_len_21_plus;has_alignment_debug,5,41,,,,,,,
C2U-AUDIT-0005,translated_test_3084,long_21_plus,multi_entity;has_org;has_loc;entity_len_21_plus;has_alignment_debug,3,34,,,,,,,
C2U-AUDIT-0006,translated_test_439,long_21_plus,has_org;entity_len_21_plus;has_alignment_debug,2,35,,,,,,,
C2U-AUDIT-0007,translated_test_1812,long_21_plus,multi_entity;has_org;has_loc;entity_len_21_plus;has_alignment_debug,7,43,,,,,,,
C2U-AUDIT-0008,translated_test_1480,long_21_plus,multi_entity;has_org;has_loc;entity_len_21_plus;has_alignment_debug,4,40,,,,,,,
C2U-AUDIT-0009,translated_test_1496,long_21_plus,multi_entity;has_org;has_loc;entity_len_21_plus;has_alignment_debug,9,34,,,,,,,
C2U-AUDIT-0010,translated_test_918,long_21_plus,multi_entity;has_org;has_loc;entity_len_21_plus;has_alignment_debug,6,22,,,,,,,
C2U-AUDIT-0011,translated_test_21,long_21_plus,multi_entity;has_org;entity_len_21_plus;has_alignment_debug,3,31,,,,,,,
C2U-AUDIT-0012,translated_test_1590,long_21_plus,multi_entity;has_org;has_loc;entity_len_21_plus;has_alignment_debug,4,22,,,,,,,
C2U-AUDIT-0013,translated_test_1552,long_21_plus,has_org;entity_len_21_plus;has_alignment_debug,1,32,,,,,,,
C2U-AUDIT-0014,translated_test_3027,long_21_plus,multi_entity;has_org;has_loc;entity_len_21_plus;has_alignment_debug,4,58,,,,,,,
C2U-AUDIT-0015,translated_test_2041,long_21_plus,multi_entity;has_loc;entity_len_21_plus;has_alignment_debug,3,21,,,,,,,
C2U-AUDIT-0016,translated_test_2489,long_21_plus,multi_entity;has_org;has_loc;entity_len_21_plus;has_alignment_debug,6,24,,,,,,,
C2U-AUDIT-0017,translated_test_2714,long_21_plus,multi_entity;has_org;has_loc;entity_len_21_plus;has_alignment_debug,4,22,,,,,,,
C2U-AUDIT-0018,translated_test_140,long_21_plus,has_org;entity_len_21_plus;has_alignment_debug,2,30,,,,,,,
C2U-AUDIT-0019,translated_test_1445,long_21_plus,has_org;entity_len_21_plus;has_alignment_debug,2,25,,,,,,,
C2U-AUDIT-0020,translated_test_2656,long_21_plus,multi_entity;has_org;has_loc;entity_len_21_plus;has_alignment_debug,3,34,,,,,,,
