token_refine_threshold,token_keep_threshold,split,precision,recall,f1,tp,fp,fn
0.45,0.7,validation,0.7896522476675149,0.7795143734300866,0.7845505617977528,2793,744,790
0.45,0.75,validation,0.7913117546848382,0.7778397990510745,0.784517945109078,2787,735,796
0.45,0.8,validation,0.7942351598173516,0.7767234161317332,0.78538168477494,2783,721,800
0.45,0.85,validation,0.7971766061653702,0.7722578844543678,0.7845194216047633,2767,704,816
0.45,0.9,validation,0.8011065812463599,0.7677923527770025,0.7840957674219751,2751,683,832
0.5,0.7,validation,0.78993497314108,0.7797934691599219,0.7848314606741573,2794,743,789
0.5,0.75,validation,0.7915956842703009,0.7781188947809099,0.7847994370161858,2788,734,795
0.5,0.8,validation,0.7945205479452054,0.7770025118615685,0.7856638916325667,2784,720,799
0.5,0.85,validation,0.7974647075770671,0.7725369801842031,0.7848029486815992,2768,703,815
0.5,0.9,validation,0.8013977868375073,0.7680714485068378,0.7843807895111871,2752,682,831
0.55,0.7,validation,0.7879558948261238,0.7778397990510745,0.7828651685393258,2787,750,796
0.55,0.75,validation,0.7896081771720613,0.7761652246720625,0.7828289936664321,2781,741,802
0.55,0.8,validation,0.7925228310502284,0.7750488417527212,0.7836884436291803,2777,727,806
0.55,0.85,validation,0.7954479976951887,0.7705833100753559,0.7828182591437483,2761,710,822
0.55,0.9,validation,0.7993593476994758,0.7661177783979906,0.7823856348867038,2745,689,838
0.5,0.8,test_dev_selected,0.7849313167753573,0.7739772882747298,0.7794158170294847,5657,1550,1652
